0,1,2
0.0,-576.0,-828.0
1.0,-616.0,-804.0
2.0,-575.0,-808.0
3.0,-599.0,-770.0
4.0,-620.0,-823.0
5.0,-615.0,-791.0
6.0,-600.0,-828.0
7.0,-598.0,-797.0
8.0,-617.0,-773.0
9.0,-618.0,-810.0
10.0,-601.0,-810.0
11.0,-563.0,-708.0
12.0,-570.0,-792.0
13.0,-609.0,-784.0
14.0,-595.0,-820.0
15.0,-593.0,-634.0
16.0,-617.0,-833.0
17.0,-580.0,-834.0
18.0,-619.0,-828.0
19.0,-616.0,-830.0
20.0,-619.0,-803.0
21.0,-569.0,-811.0
22.0,-603.0,-800.0
23.0,-611.0,-790.0
24.0,-599.0,-817.0
25.0,-590.0,-830.0
26.0,-620.0,-806.0
27.0,-613.0,-833.0
28.0,-555.0,-832.0
29.0,-615.0,-816.0
30.0,-581.0,-787.0
31.0,-600.0,-818.0
32.0,-588.0,-771.0
33.0,-614.0,-822.0
34.0,-616.0,-820.0
35.0,-575.0,-818.0
36.0,-619.0,-828.0
37.0,-593.0,-818.0
38.0,-615.0,-813.0
39.0,-591.0,-780.0
40.0,-608.0,-810.0
41.0,-566.0,-735.0
42.0,-563.0,-824.0
43.0,-616.0,-823.0
44.0,-609.0,-803.0
45.0,-580.0,-806.0
46.0,-621.0,-806.0
47.0,-570.0,-802.0
48.0,-616.0,-792.0
49.0,-617.0,-817.0
50.0,-614.0,-783.0
51.0,-612.0,-832.0
52.0,-599.0,-823.0
53.0,-615.0,-778.0
54.0,-611.0,-806.0
55.0,-598.0,-803.0
56.0,-598.0,-824.0
57.0,-609.0,-501.0
58.0,-588.0,-725.0
59.0,-617.0,-830.0
60.0,-590.0,-704.0
61.0,-609.0,-803.0
62.0,-581.0,-822.0
63.0,-583.0,-797.0
64.0,-562.0,-834.0
65.0,-612.0,-780.0
66.0,-601.0,-788.0
67.0,-545.0,-812.0
68.0,-561.0,-525.0
69.0,-616.0,-802.0
70.0,-608.0,-817.0
71.0,-567.0,-809.0
72.0,-556.0,-828.0
73.0,-614.0,-779.0
74.0,-605.0,-824.0
75.0,-609.0,-792.0
76.0,-613.0,-831.0
77.0,-618.0,-821.0
78.0,-579.0,-573.0
79.0,-615.0,-806.0
80.0,-548.0,-818.0
81.0,-615.0,-822.0
82.0,-599.0,-803.0
83.0,-562.0,-792.0
84.0,-615.0,-818.0
85.0,-613.0,-732.0
86.0,-544.0,-832.0
87.0,-585.0,-804.0
88.0,-599.0,-832.0
89.0,-596.0,-776.0
90.0,-594.0,-784.0
91.0,-603.0,-808.0
92.0,-614.0,-830.0
93.0,-598.0,-823.0
94.0,-558.0,-792.0
95.0,-614.0,-821.0
96.0,-449.0,-819.0
97.0,-610.0,-802.0
98.0,-597.0,-832.0
99.0,-593.0,-809.0
100.0,-599.0,-814.0
101.0,-605.0,-834.0
102.0,-566.0,-809.0
103.0,-604.0,-810.0
104.0,-587.0,-830.0
105.0,-579.0,-819.0
106.0,-600.0,-791.0
107.0,-556.0,-810.0
108.0,-618.0,-780.0
109.0,-606.0,-638.0
110.0,-617.0,-770.0
111.0,-608.0,-806.0
112.0,-608.0,-802.0
113.0,-606.0,-829.0
114.0,-617.0,-834.0
115.0,-588.0,-792.0
116.0,-598.0,-796.0
117.0,-569.0,-828.0
118.0,-607.0,-784.0
119.0,-612.0,-808.0
120.0,-614.0,-783.0
121.0,-607.0,-827.0
122.0,-621.0,-820.0
123.0,-603.0,-640.0
124.0,-602.0,-827.0
125.0,-588.0,-811.0
126.0,-585.0,-795.0
127.0,-545.0,-761.0
128.0,-610.0,-831.0
129.0,-610.0,-790.0
130.0,-616.0,-823.0
131.0,-600.0,-746.0
132.0,-545.0,-773.0
133.0,-564.0,-828.0
134.0,-598.0,-790.0
135.0,-620.0,-829.0
136.0,-620.0,-824.0
137.0,-548.0,-831.0
138.0,-489.0,-823.0
139.0,-608.0,-821.0
140.0,-620.0,-814.0
141.0,-600.0,-805.0
142.0,-603.0,-784.0
143.0,-549.0,-809.0
144.0,-613.0,-780.0
145.0,-615.0,-725.0
146.0,-607.0,-812.0
147.0,-604.0,-805.0
148.0,-610.0,-795.0
149.0,-615.0,-754.0
150.0,-602.0,-809.0
151.0,-601.0,-813.0
152.0,-611.0,-820.0
153.0,-346.0,-825.0
154.0,-598.0,-822.0
155.0,-524.0,-817.0
156.0,-608.0,-830.0
157.0,-545.0,-826.0
158.0,-596.0,-832.0
159.0,-616.0,-792.0
160.0,-615.0,-808.0
161.0,-600.0,-797.0
162.0,-612.0,-821.0
163.0,-617.0,-826.0
164.0,-615.0,-834.0
165.0,-611.0,-814.0
166.0,-613.0,-823.0
167.0,-605.0,-829.0
168.0,-608.0,-713.0
169.0,-608.0,-809.0
170.0,-596.0,-818.0
171.0,-605.0,-830.0
172.0,-605.0,-834.0
173.0,-608.0,-821.0
174.0,-620.0,-606.0
175.0,-582.0,-827.0
176.0,-614.0,-818.0
