0,,1,,,2,,,3,,,4
0,0,1209,,0,1231,,0.01,1222,,1,1078
1,0,1247,,0,1254,,1,1146,,1,1127
2,1,1095,,0,1251,,1,1123,,1,998
3,1,1045,,0,1256,,1,1147,,1,1012
4,0,1228,,1,1172,,1,1103,,1,1082
5,1,1176,,0.81,1198,,0.41,1192,,1,1131
6,0.01,1212,,1,1104,,1,1174,,0.58,1210
7,1,1116,,1,1048,,1,1092,,1,1015
8,1,1061,,0.03,1215,,0.15,1218,,0.58,1214
9,0.01,1209,,0.06,1213,,1,1146,,1,1053
10,0.01,1216,,1,1129,,1,1082,,0.88,1147
11,1,1130,,1,1096,,1,1092,,1,1139
12,1,1130,,0,1222,,1,1147,,1,1027
13,1,1150,,1,1165,,0.23,1212,,1,1130
14,1,1120,,0.1,1210,,0.26,1210,,1,1031
15,0,1244,,0,1219,,1,1120,,0.44,1205
16,0.01,1226,,0,1218,,0.01,1218,,0.99,1146
17,0.01,1217,,0.1,1210,,1,1062,,1,1115
18,1,1150,,0.02,1213,,1,1092,,0.18,1218
19,0.18,1198,,0.03,1214,,1,1082,,1,1146
20,0.01,1217,,0.1,1209,,0.86,1180,,1,1179
21,0,1245,,0,1266,,1,1146,,0.98,1151
22,1,1150,,0.01,1222,,1,1140,,1,1164
23,1,1060,,0.02,1213,,1,1146,,0.99,1146
24,0,1227,,1,1050,,1,1043,,0.98,1151
25,0.01,1223,,0,1227,,1,1089,,1,1120
26,0.01,1224,,1,1104,,0.35,1196,,1,1115
27,0,1246,,0.38,1206,,1,1128,,1,1120
28,0.02,1224,,0,1251,,0.33,1192,,1,1116
29,0,1244,,1,1133,,1,1159,,0.99,1149
30,1,1086,,1,1145,,0.29,1207,,0.99,1146
31,1,1032,,1,1127,,0.2,1201,,0.7,1208
32,1,1128,,0.01,1222,,0.53,1196,,1,1173
33,0.01,1223,,0.01,1215,,1,1092,,1,1002
34,0,1245,,1,1025,,1,1195,,1,1176
35,0,1221,,1,1064,,1,1013,,0.99,1176
36,1,1120,,1,1080,,1,1146,,0.98,1151
37,1,1146,,1,1150,,0.15,1218,,1,1173
38,0,1220,,1,1053,,1,1147,,0.44,1205
39,1,1094,,0,1257,,1,1065,,1,1173
40,1,1050,,1,1079,,1,1185,,1,960
41,1,1124,,1,1095,,0.29,1196,,0.99,1150
