0,1,2,3,4
0.0,763.0,679.0,733.0,802.0
1.0,574.0,750.0,784.0,496.0
2.0,773.0,758.0,640.0,667.0
3.0,812.0,725.0,636.0,495.0
4.0,686.0,682.0,624.0,721.0
5.0,748.0,743.0,777.0,710.0
6.0,769.0,790.0,757.0,463.0
7.0,860.0,750.0,828.0,536.0
8.0,848.0,573.0,777.0,712.0
9.0,748.0,753.0,732.0,487.0
10.0,595.0,720.0,754.0,624.0
11.0,731.0,685.0,751.0,709.0
12.0,768.0,780.0,760.0,471.0
13.0,786.0,763.0,812.0,837.0
14.0,738.0,669.0,573.0,643.0
15.0,691.0,579.0,754.0,710.0
16.0,788.0,763.0,692.0,798.0
17.0,752.0,781.0,809.0,574.0
18.0,758.0,598.0,612.0,704.0
19.0,590.0,569.0,856.0,639.0
20.0,691.0,729.0,687.0,561.0
21.0,615.0,605.0,800.0,566.0
22.0,765.0,639.0,720.0,700.0
23.0,742.0,584.0,574.0,856.0
24.0,762.0,644.0,745.0,713.0
25.0,774.0,679.0,633.0,780.0
26.0,621.0,606.0,801.0,765.0
27.0,596.0,807.0,621.0,508.0
28.0,609.0,779.0,804.0,765.0
29.0,704.0,745.0,559.0,486.0
30.0,758.0,751.0,575.0,700.0
31.0,744.0,739.0,729.0,761.0
32.0,749.0,743.0,736.0,558.0
33.0,777.0,606.0,769.0,684.0
34.0,695.0,773.0,591.0,471.0
35.0,618.0,619.0,634.0,679.0
36.0,801.0,748.0,738.0,713.0
37.0,700.0,813.0,718.0,514.0
38.0,655.0,781.0,748.0,768.0
39.0,700.0,781.0,579.0,569.0
40.0,737.0,761.0,816.0,780.0
41.0,763.0,705.0,788.0,650.0
42.0,694.0,559.0,574.0,782.0
43.0,860.0,721.0,728.0,582.0
44.0,714.0,628.0,812.0,546.0
45.0,644.0,741.0,800.0,696.0
46.0,781.0,852.0,748.0,535.0
47.0,744.0,790.0,739.0,606.0
48.0,657.0,712.0,602.0,696.0
49.0,716.0,705.0,712.0,630.0
50.0,777.0,779.0,691.0,617.0
51.0,759.0,658.0,668.0,770.0
52.0,626.0,813.0,739.0,688.0
53.0,591.0,780.0,691.0,647.0
54.0,812.0,767.0,788.0,478.0
55.0,815.0,815.0,819.0,679.0
56.0,754.0,676.0,746.0,665.0
57.0,882.0,809.0,811.0,596.0
58.0,848.0,805.0,589.0,695.0
59.0,781.0,759.0,746.0,446.0
60.0,653.0,779.0,678.0,512.0
61.0,698.0,763.0,809.0,704.0
62.0,580.0,732.0,771.0,802.0
63.0,626.0,620.0,512.0,505.0
64.0,691.0,586.0,514.0,505.0
65.0,732.0,761.0,561.0,483.0
66.0,753.0,611.0,607.0,650.0
67.0,815.0,782.0,739.0,704.0
68.0,737.0,712.0,738.0,765.0
69.0,596.0,759.0,738.0,704.0
70.0,735.0,761.0,736.0,639.0
71.0,810.0,781.0,569.0,694.0
72.0,790.0,579.0,625.0,768.0
73.0,779.0,813.0,590.0,688.0
74.0,588.0,739.0,777.0,612.0
75.0,643.0,748.0,739.0,694.0
76.0,792.0,650.0,774.0,691.0
77.0,698.0,658.0,757.0,796.0
78.0,652.0,575.0,673.0,685.0
79.0,571.0,824.0,735.0,512.0
80.0,700.0,823.0,810.0,706.0
81.0,734.0,732.0,739.0,581.0
82.0,815.0,598.0,729.0,686.0
83.0,686.0,618.0,563.0,703.0
84.0,572.0,743.0,738.0,476.0
85.0,643.0,742.0,771.0,741.0
86.0,697.0,725.0,771.0,735.0
87.0,586.0,747.0,610.0,765.0
88.0,808.0,574.0,714.0,694.0
89.0,780.0,628.0,614.0,537.0
90.0,700.0,644.0,602.0,744.0
91.0,817.0,813.0,564.0,788.0
92.0,738.0,743.0,733.0,812.0
93.0,632.0,588.0,598.0,534.0
94.0,757.0,821.0,747.0,689.0
