0,1,2
0.0,1164.0,1139.0
1.0,1213.0,1076.0
2.0,1119.0,1132.0
3.0,992.0,1139.0
4.0,1217.0,1158.0
5.0,1146.0,1022.0
6.0,1222.0,1219.0
7.0,1212.0,1147.0
8.0,1150.0,1206.0
9.0,1025.0,1158.0
10.0,1245.0,1033.0
11.0,1156.0,1151.0
12.0,1100.0,1174.0
13.0,1221.0,967.0
14.0,1209.0,1118.0
15.0,1124.0,1150.0
16.0,1213.0,1111.0
17.0,1130.0,1160.0
18.0,1071.0,1076.0
19.0,1174.0,1103.0
20.0,1228.0,1076.0
21.0,1155.0,1079.0
22.0,1078.0,1113.0
23.0,999.0,1118.0
24.0,1128.0,1151.0
25.0,1130.0,1111.0
26.0,1042.0,1210.0
27.0,1130.0,976.0
28.0,1128.0,1082.0
29.0,1164.0,1085.0
30.0,1064.0,1047.0
31.0,1254.0,1165.0
32.0,1128.0,1113.0
33.0,1247.0,1029.0
34.0,1223.0,944.0
35.0,1158.0,1076.0
36.0,1020.0,948.0
37.0,1125.0,1219.0
38.0,1186.0,1176.0
39.0,1183.0,1154.0
40.0,1216.0,1161.0
41.0,1156.0,1210.0
42.0,1222.0,1145.0
43.0,1137.0,1104.0
44.0,1159.0,999.0
45.0,1212.0,1165.0
46.0,1222.0,1015.0
47.0,1244.0,1132.0
48.0,1212.0,1111.0
49.0,1226.0,1210.0
50.0,1164.0,1225.0
51.0,1150.0,1178.0
52.0,1150.0,1082.0
53.0,1204.0,1082.0
54.0,1150.0,1207.0
55.0,1212.0,1176.0
56.0,1227.0,1205.0
57.0,1128.0,1113.0
58.0,1216.0,972.0
59.0,1252.0,1078.0
60.0,1244.0,1116.0
61.0,1223.0,1150.0
62.0,1159.0,1115.0
63.0,1043.0,1173.0
64.0,1098.0,1110.0
65.0,1209.0,1053.0
66.0,1223.0,1132.0
67.0,1159.0,1079.0
68.0,1098.0,994.0
69.0,1130.0,970.0
70.0,1209.0,1149.0
71.0,1261.0,1118.0
72.0,1101.0,1147.0
73.0,1228.0,1154.0
74.0,1000.0,1205.0
75.0,1004.0,1111.0
76.0,1131.0,1078.0
77.0,1211.0,998.0
78.0,1213.0,1078.0
79.0,1051.0,1082.0
80.0,1150.0,1076.0
81.0,1261.0,1146.0
82.0,1150.0,1115.0
83.0,1213.0,1040.0
84.0,1251.0,1085.0
85.0,1098.0,1171.0
86.0,1215.0,1078.0
