0,1,2
0.0,687.0,601.0
1.0,723.0,548.0
2.0,768.0,720.0
3.0,694.0,713.0
4.0,723.0,692.0
5.0,810.0,626.0
6.0,730.0,717.0
7.0,767.0,556.0
8.0,744.0,781.0
9.0,648.0,606.0
10.0,685.0,710.0
11.0,791.0,693.0
12.0,597.0,533.0
13.0,702.0,720.0
14.0,810.0,663.0
15.0,703.0,711.0
16.0,724.0,456.0
17.0,649.0,720.0
18.0,675.0,720.0
19.0,598.0,520.0
20.0,756.0,705.0
21.0,744.0,618.0
22.0,768.0,717.0
23.0,702.0,776.0
24.0,829.0,514.0
25.0,721.0,776.0
26.0,756.0,558.0
27.0,574.0,690.0
28.0,597.0,448.0
29.0,809.0,611.0
30.0,828.0,674.0
31.0,744.0,691.0
32.0,723.0,656.0
33.0,679.0,548.0
34.0,768.0,705.0
35.0,756.0,670.0
36.0,799.0,710.0
37.0,758.0,764.0
38.0,757.0,558.0
39.0,815.0,557.0
40.0,702.0,784.0
41.0,732.0,663.0
42.0,555.0,656.0
43.0,730.0,669.0
44.0,766.0,672.0
45.0,612.0,712.0
46.0,735.0,705.0
47.0,726.0,435.0
48.0,740.0,693.0
49.0,779.0,622.0
50.0,582.0,663.0
51.0,710.0,735.0
52.0,779.0,465.0
53.0,723.0,640.0
54.0,582.0,501.0
55.0,604.0,625.0
56.0,565.0,548.0
57.0,699.0,663.0
58.0,587.0,517.0
59.0,743.0,601.0
60.0,744.0,708.0
61.0,709.0,756.0
62.0,764.0,622.0
63.0,640.0,663.0
64.0,768.0,708.0
65.0,813.0,708.0
66.0,734.0,607.0
67.0,630.0,660.0
68.0,609.0,520.0
69.0,734.0,546.0
70.0,744.0,710.0
71.0,570.0,690.0
72.0,592.0,494.0
73.0,614.0,680.0
74.0,742.0,708.0
75.0,772.0,676.0
76.0,768.0,665.0
77.0,569.0,680.0
78.0,564.0,730.0
79.0,741.0,511.0
80.0,762.0,629.0
81.0,607.0,519.0
82.0,656.0,662.0
83.0,730.0,665.0
84.0,579.0,667.0
85.0,685.0,713.0
86.0,671.0,541.0
87.0,582.0,550.0
88.0,613.0,665.0
89.0,734.0,760.0
90.0,734.0,766.0
91.0,766.0,692.0
92.0,581.0,491.0
93.0,632.0,620.0
94.0,713.0,762.0
95.0,594.0,661.0
96.0,785.0,543.0
97.0,810.0,717.0
98.0,774.0,692.0
99.0,644.0,559.0
100.0,724.0,761.0
101.0,740.0,678.0
102.0,596.0,564.0
103.0,702.0,702.0
104.0,734.0,765.0
105.0,766.0,680.0
106.0,744.0,514.0
107.0,643.0,676.0
108.0,742.0,672.0
109.0,724.0,706.0
110.0,815.0,499.0
111.0,630.0,684.0
112.0,576.0,476.0
113.0,744.0,462.0
114.0,766.0,550.0
115.0,708.0,711.0
116.0,830.0,487.0
117.0,744.0,713.0
118.0,734.0,684.0
119.0,732.0,622.0
120.0,563.0,597.0
121.0,811.0,622.0
122.0,695.0,710.0
123.0,588.0,680.0
124.0,694.0,672.0
125.0,724.0,595.0
126.0,741.0,766.0
127.0,766.0,628.0
128.0,734.0,712.0
129.0,772.0,663.0
130.0,740.0,600.0
131.0,723.0,528.0
132.0,748.0,656.0
