0,1,2,3
0.0,187.0,316.0,246.0
1.0,343.0,210.0,246.0
2.0,322.0,311.0,180.0
3.0,228.0,311.0,231.0
4.0,314.0,234.0,253.0
5.0,276.0,204.0,248.0
6.0,353.0,231.0,186.0
7.0,275.0,147.0,177.0
8.0,240.0,316.0,249.0
9.0,241.0,312.0,250.0
10.0,327.0,179.0,246.0
11.0,193.0,262.0,245.0
12.0,316.0,349.0,305.0
13.0,273.0,337.0,193.0
14.0,275.0,261.0,296.0
15.0,240.0,138.0,255.0
16.0,243.0,324.0,108.0
17.0,184.0,277.0,253.0
18.0,240.0,311.0,86.0
19.0,345.0,258.0,263.0
20.0,314.0,311.0,245.0
21.0,187.0,158.0,302.0
22.0,266.0,275.0,232.0
23.0,315.0,258.0,179.0
24.0,313.0,333.0,178.0
25.0,240.0,315.0,202.0
26.0,264.0,231.0,188.0
27.0,150.0,258.0,211.0
28.0,243.0,311.0,308.0
29.0,172.0,234.0,180.0
30.0,258.0,348.0,178.0
31.0,353.0,262.0,246.0
32.0,323.0,275.0,202.0
33.0,218.0,342.0,57.0
34.0,314.0,348.0,179.0
35.0,324.0,239.0,250.0
36.0,322.0,343.0,115.0
37.0,353.0,256.0,69.0
38.0,324.0,258.0,295.0
39.0,264.0,298.0,176.0
40.0,245.0,261.0,178.0
41.0,314.0,250.0,261.0
42.0,316.0,312.0,232.0
43.0,240.0,311.0,202.0
44.0,241.0,277.0,98.0
45.0,316.0,334.0,253.0
46.0,349.0,310.0,41.0
47.0,327.0,245.0,185.0
48.0,314.0,231.0,246.0
49.0,257.0,210.0,220.0
50.0,327.0,203.0,202.0
51.0,351.0,350.0,291.0
52.0,263.0,343.0,176.0
53.0,180.0,321.0,245.0
54.0,241.0,180.0,70.0
55.0,251.0,313.0,245.0
56.0,248.0,351.0,246.0
57.0,320.0,246.0,305.0
58.0,352.0,338.0,305.0
59.0,316.0,313.0,245.0
60.0,214.0,351.0,299.0
61.0,157.0,135.0,66.0
62.0,351.0,170.0,176.0
63.0,318.0,234.0,227.0
64.0,320.0,277.0,246.0
65.0,313.0,234.0,251.0
66.0,182.0,351.0,245.0
67.0,320.0,317.0,178.0
68.0,254.0,343.0,179.0
69.0,174.0,317.0,212.0
70.0,279.0,322.0,232.0
71.0,324.0,176.0,42.0
72.0,211.0,135.0,247.0
73.0,266.0,312.0,220.0
74.0,194.0,277.0,306.0
75.0,274.0,213.0,249.0
76.0,342.0,313.0,118.0
77.0,308.0,245.0,245.0
78.0,193.0,196.0,176.0
79.0,241.0,316.0,98.0
80.0,328.0,156.0,176.0
81.0,318.0,237.0,141.0
82.0,310.0,204.0,185.0
83.0,174.0,342.0,253.0
84.0,266.0,326.0,177.0
85.0,168.0,316.0,247.0
86.0,324.0,274.0,51.0
87.0,313.0,235.0,316.0
88.0,183.0,317.0,211.0
89.0,265.0,174.0,294.0
90.0,325.0,349.0,190.0
91.0,243.0,235.0,133.0
92.0,240.0,275.0,305.0
93.0,310.0,252.0,246.0
94.0,239.0,181.0,305.0
95.0,241.0,261.0,177.0
96.0,192.0,252.0,245.0
97.0,272.0,190.0,316.0
98.0,253.0,312.0,249.0
99.0,343.0,339.0,251.0
100.0,324.0,139.0,74.0
101.0,162.0,307.0,259.0
102.0,179.0,234.0,231.0
103.0,186.0,316.0,202.0
104.0,342.0,234.0,178.0
105.0,240.0,274.0,251.0
106.0,316.0,231.0,179.0
107.0,245.0,350.0,78.0
108.0,259.0,261.0,152.0
109.0,237.0,294.0,98.0
110.0,319.0,342.0,247.0
111.0,191.0,349.0,293.0
112.0,318.0,350.0,211.0
113.0,319.0,289.0,245.0
114.0,212.0,248.0,292.0
115.0,248.0,321.0,292.0
116.0,255.0,174.0,178.0
117.0,146.0,319.0,249.0
118.0,265.0,319.0,149.0
119.0,314.0,311.0,133.0
120.0,257.0,256.0,185.0
121.0,266.0,210.0,146.0
122.0,315.0,235.0,251.0
123.0,239.0,245.0,263.0
124.0,268.0,350.0,257.0
125.0,324.0,349.0,85.0
126.0,316.0,312.0,303.0
127.0,324.0,319.0,73.0
128.0,240.0,231.0,293.0
129.0,264.0,252.0,50.0
130.0,159.0,311.0,210.0
131.0,194.0,274.0,245.0
132.0,342.0,315.0,185.0
133.0,160.0,220.0,117.0
134.0,266.0,234.0,245.0
135.0,350.0,338.0,98.0
136.0,342.0,258.0,250.0
137.0,241.0,290.0,267.0
138.0,320.0,234.0,178.0
139.0,259.0,203.0,250.0
140.0,314.0,293.0,299.0
141.0,320.0,309.0,152.0
142.0,320.0,317.0,266.0
143.0,268.0,311.0,78.0
144.0,323.0,245.0,246.0
145.0,245.0,234.0,133.0
146.0,263.0,210.0,154.0
147.0,240.0,312.0,232.0
148.0,264.0,166.0,297.0
149.0,214.0,333.0,258.0
150.0,245.0,311.0,291.0
151.0,310.0,262.0,180.0
152.0,225.0,349.0,176.0
153.0,322.0,176.0,130.0
154.0,351.0,316.0,178.0
155.0,266.0,268.0,296.0
156.0,342.0,350.0,158.0
157.0,319.0,312.0,239.0
158.0,309.0,317.0,302.0
159.0,344.0,324.0,133.0
160.0,295.0,216.0,251.0
161.0,322.0,168.0,141.0
162.0,188.0,189.0,232.0
163.0,344.0,315.0,52.0
164.0,318.0,231.0,145.0
165.0,241.0,342.0,299.0
166.0,310.0,316.0,109.0
167.0,257.0,234.0,177.0
168.0,240.0,349.0,235.0
169.0,310.0,316.0,71.0
170.0,318.0,312.0,231.0
171.0,340.0,144.0,72.0
172.0,240.0,250.0,316.0
173.0,316.0,275.0,177.0
174.0,327.0,231.0,177.0
175.0,237.0,251.0,255.0
176.0,316.0,245.0,127.0
177.0,266.0,200.0,250.0
178.0,342.0,234.0,176.0
179.0,325.0,274.0,48.0
180.0,322.0,185.0,132.0
181.0,350.0,343.0,179.0
182.0,268.0,231.0,251.0
183.0,253.0,177.0,65.0
184.0,258.0,231.0,212.0
185.0,319.0,317.0,178.0
186.0,274.0,312.0,251.0
187.0,349.0,350.0,260.0
188.0,298.0,275.0,149.0
189.0,249.0,235.0,216.0
190.0,265.0,338.0,257.0
191.0,324.0,348.0,299.0
192.0,265.0,315.0,39.0
193.0,157.0,231.0,40.0
194.0,324.0,311.0,279.0
195.0,248.0,248.0,264.0
196.0,241.0,300.0,202.0
197.0,190.0,350.0,202.0
198.0,320.0,349.0,178.0
199.0,239.0,268.0,177.0
200.0,351.0,277.0,211.0
201.0,273.0,312.0,117.0
202.0,241.0,339.0,210.0
203.0,201.0,259.0,246.0
204.0,177.0,231.0,79.0
205.0,241.0,240.0,210.0
206.0,207.0,205.0,95.0
207.0,245.0,234.0,71.0
208.0,320.0,258.0,264.0
209.0,266.0,312.0,218.0
210.0,316.0,144.0,294.0
211.0,322.0,183.0,177.0
212.0,310.0,311.0,71.0
213.0,239.0,339.0,177.0
214.0,353.0,268.0,306.0
215.0,295.0,349.0,218.0
216.0,316.0,316.0,146.0
217.0,353.0,318.0,250.0
218.0,181.0,190.0,60.0
219.0,310.0,321.0,232.0
220.0,353.0,312.0,246.0
221.0,343.0,276.0,73.0
222.0,178.0,273.0,258.0
223.0,343.0,259.0,179.0
224.0,315.0,137.0,296.0
225.0,245.0,180.0,293.0
226.0,318.0,316.0,249.0
227.0,323.0,292.0,210.0
228.0,178.0,313.0,178.0
229.0,276.0,300.0,248.0
230.0,241.0,273.0,178.0
231.0,264.0,200.0,246.0
232.0,231.0,275.0,202.0
233.0,316.0,245.0,305.0
234.0,322.0,234.0,176.0
235.0,316.0,275.0,187.0
236.0,313.0,171.0,303.0
237.0,176.0,252.0,202.0
238.0,322.0,321.0,150.0
239.0,324.0,311.0,250.0
240.0,245.0,351.0,298.0
241.0,316.0,350.0,258.0
242.0,241.0,189.0,247.0
243.0,241.0,252.0,245.0
244.0,263.0,319.0,178.0
245.0,343.0,311.0,231.0
246.0,195.0,316.0,231.0
247.0,353.0,163.0,176.0
248.0,163.0,170.0,250.0
249.0,320.0,311.0,258.0
