0,1,2,3,4
0.0,360.0,323.0,164.0,388.0
1.0,325.0,344.0,372.0,149.0
2.0,199.0,343.0,221.0,237.0
3.0,283.0,332.0,295.0,170.0
4.0,370.0,358.0,361.0,236.0
5.0,353.0,366.0,275.0,280.0
6.0,342.0,285.0,357.0,312.0
7.0,145.0,355.0,354.0,125.0
8.0,324.0,357.0,165.0,318.0
9.0,128.0,425.0,222.0,304.0
10.0,214.0,352.0,480.0,277.0
11.0,355.0,213.0,324.0,132.0
12.0,367.0,356.0,187.0,122.0
13.0,305.0,373.0,360.0,383.0
14.0,289.0,383.0,416.0,84.0
15.0,344.0,349.0,142.0,325.0
16.0,147.0,226.0,415.0,159.0
17.0,404.0,353.0,420.0,121.0
18.0,357.0,234.0,415.0,304.0
19.0,348.0,373.0,434.0,327.0
20.0,303.0,415.0,314.0,193.0
21.0,303.0,215.0,356.0,288.0
22.0,357.0,359.0,377.0,134.0
23.0,330.0,312.0,246.0,226.0
24.0,440.0,327.0,468.0,307.0
25.0,304.0,299.0,356.0,411.0
26.0,298.0,192.0,343.0,139.0
27.0,163.0,265.0,229.0,185.0
28.0,308.0,291.0,353.0,203.0
29.0,320.0,218.0,251.0,70.0
30.0,303.0,310.0,409.0,122.0
31.0,362.0,369.0,498.0,277.0
32.0,227.0,273.0,357.0,138.0
33.0,267.0,359.0,434.0,308.0
34.0,203.0,351.0,354.0,292.0
35.0,264.0,286.0,246.0,45.0
36.0,370.0,331.0,427.0,340.0
37.0,356.0,211.0,373.0,293.0
38.0,331.0,436.0,340.0,409.0
39.0,440.0,349.0,424.0,276.0
40.0,189.0,322.0,340.0,96.0
41.0,330.0,192.0,336.0,280.0
42.0,268.0,358.0,352.0,456.0
43.0,320.0,303.0,348.0,265.0
44.0,425.0,349.0,202.0,282.0
45.0,368.0,357.0,135.0,282.0
46.0,123.0,357.0,243.0,306.0
47.0,240.0,207.0,365.0,302.0
48.0,195.0,330.0,365.0,306.0
49.0,242.0,196.0,244.0,303.0
50.0,356.0,317.0,347.0,429.0
51.0,134.0,352.0,336.0,57.0
52.0,356.0,209.0,236.0,292.0
53.0,342.0,308.0,336.0,75.0
54.0,309.0,357.0,314.0,236.0
55.0,257.0,352.0,297.0,406.0
56.0,169.0,344.0,236.0,399.0
57.0,230.0,318.0,336.0,57.0
58.0,192.0,321.0,426.0,236.0
59.0,360.0,339.0,365.0,308.0
60.0,417.0,346.0,387.0,159.0
61.0,134.0,331.0,334.0,419.0
62.0,250.0,422.0,363.0,374.0
63.0,432.0,356.0,355.0,289.0
64.0,379.0,358.0,238.0,189.0
65.0,182.0,416.0,406.0,426.0
66.0,436.0,356.0,332.0,192.0
67.0,212.0,368.0,235.0,189.0
68.0,366.0,415.0,308.0,158.0
69.0,398.0,359.0,326.0,205.0
70.0,411.0,280.0,318.0,393.0
71.0,295.0,330.0,377.0,277.0
72.0,340.0,373.0,246.0,387.0
73.0,440.0,354.0,295.0,101.0
74.0,371.0,361.0,190.0,332.0
75.0,411.0,246.0,400.0,160.0
76.0,380.0,296.0,376.0,292.0
77.0,411.0,391.0,409.0,290.0
78.0,305.0,312.0,263.0,324.0
79.0,356.0,288.0,342.0,277.0
80.0,287.0,329.0,334.0,348.0
81.0,289.0,403.0,296.0,248.0
82.0,220.0,416.0,252.0,247.0
83.0,334.0,149.0,319.0,401.0
84.0,366.0,271.0,334.0,300.0
85.0,310.0,339.0,242.0,285.0
86.0,266.0,402.0,265.0,306.0
87.0,370.0,322.0,343.0,212.0
88.0,350.0,352.0,336.0,75.0
89.0,336.0,229.0,424.0,296.0
90.0,374.0,372.0,295.0,158.0
91.0,352.0,353.0,324.0,390.0
92.0,275.0,312.0,352.0,166.0
93.0,328.0,282.0,365.0,283.0
94.0,282.0,344.0,305.0,312.0
95.0,228.0,462.0,334.0,172.0
96.0,355.0,424.0,353.0,302.0
97.0,370.0,360.0,336.0,164.0
98.0,335.0,331.0,274.0,295.0
99.0,440.0,237.0,405.0,360.0
100.0,300.0,337.0,206.0,230.0
101.0,220.0,339.0,295.0,232.0
102.0,322.0,374.0,334.0,401.0
103.0,317.0,349.0,338.0,301.0
104.0,404.0,220.0,332.0,281.0
105.0,361.0,312.0,190.0,350.0
106.0,306.0,338.0,220.0,77.0
107.0,272.0,340.0,424.0,203.0
108.0,370.0,475.0,164.0,288.0
109.0,255.0,327.0,255.0,208.0
110.0,309.0,187.0,409.0,389.0
111.0,313.0,416.0,328.0,288.0
112.0,157.0,344.0,332.0,65.0
113.0,333.0,343.0,353.0,428.0
114.0,309.0,207.0,417.0,285.0
115.0,367.0,353.0,365.0,148.0
116.0,126.0,219.0,335.0,265.0
117.0,336.0,348.0,358.0,282.0
118.0,394.0,357.0,343.0,260.0
119.0,329.0,288.0,295.0,306.0
120.0,430.0,417.0,243.0,310.0
121.0,329.0,359.0,365.0,176.0
122.0,242.0,470.0,417.0,172.0
123.0,238.0,339.0,312.0,300.0
124.0,148.0,375.0,374.0,295.0
125.0,342.0,352.0,309.0,326.0
126.0,372.0,311.0,376.0,312.0
127.0,347.0,357.0,334.0,406.0
128.0,219.0,357.0,363.0,260.0
129.0,325.0,312.0,358.0,343.0
130.0,259.0,272.0,407.0,296.0
131.0,199.0,341.0,229.0,171.0
132.0,353.0,423.0,151.0,170.0
133.0,281.0,337.0,415.0,264.0
134.0,314.0,301.0,358.0,84.0
135.0,360.0,186.0,272.0,282.0
136.0,353.0,352.0,212.0,312.0
137.0,430.0,276.0,344.0,74.0
138.0,440.0,277.0,339.0,282.0
139.0,418.0,301.0,232.0,312.0
140.0,320.0,358.0,189.0,176.0
141.0,337.0,321.0,356.0,109.0
142.0,267.0,341.0,335.0,106.0
143.0,159.0,330.0,316.0,300.0
144.0,394.0,235.0,408.0,281.0
145.0,333.0,216.0,336.0,273.0
146.0,319.0,476.0,404.0,380.0
147.0,402.0,346.0,415.0,189.0
148.0,377.0,351.0,354.0,277.0
149.0,417.0,328.0,358.0,312.0
150.0,134.0,192.0,335.0,212.0
151.0,360.0,344.0,299.0,93.0
152.0,422.0,160.0,377.0,252.0
153.0,280.0,338.0,316.0,145.0
154.0,277.0,343.0,365.0,324.0
155.0,295.0,322.0,361.0,304.0
156.0,211.0,329.0,256.0,280.0
157.0,296.0,367.0,262.0,312.0
158.0,148.0,364.0,352.0,277.0
159.0,301.0,219.0,306.0,210.0
160.0,352.0,212.0,204.0,283.0
161.0,305.0,356.0,376.0,302.0
162.0,316.0,367.0,305.0,199.0
163.0,310.0,369.0,385.0,92.0
164.0,386.0,416.0,144.0,103.0
165.0,337.0,286.0,417.0,306.0
166.0,398.0,300.0,300.0,399.0
167.0,337.0,358.0,352.0,157.0
168.0,210.0,171.0,304.0,246.0
169.0,327.0,357.0,160.0,260.0
170.0,283.0,286.0,374.0,318.0
171.0,372.0,346.0,353.0,162.0
172.0,330.0,359.0,234.0,302.0
173.0,220.0,200.0,205.0,398.0
174.0,272.0,329.0,400.0,181.0
175.0,398.0,338.0,375.0,302.0
176.0,332.0,321.0,355.0,316.0
177.0,158.0,327.0,355.0,277.0
178.0,325.0,368.0,236.0,125.0
179.0,275.0,343.0,324.0,292.0
180.0,334.0,337.0,213.0,64.0
181.0,281.0,346.0,324.0,237.0
182.0,305.0,357.0,353.0,414.0
183.0,417.0,217.0,208.0,105.0
184.0,395.0,447.0,200.0,311.0
185.0,417.0,359.0,360.0,134.0
186.0,352.0,349.0,219.0,281.0
187.0,237.0,276.0,348.0,327.0
188.0,294.0,391.0,253.0,138.0
189.0,344.0,391.0,216.0,343.0
190.0,342.0,378.0,128.0,302.0
191.0,294.0,337.0,214.0,353.0
192.0,370.0,283.0,218.0,302.0
193.0,349.0,358.0,340.0,256.0
194.0,372.0,326.0,256.0,265.0
195.0,360.0,316.0,354.0,181.0
196.0,342.0,360.0,236.0,381.0
197.0,349.0,296.0,200.0,169.0
198.0,376.0,462.0,405.0,195.0
199.0,326.0,416.0,417.0,92.0
200.0,351.0,249.0,332.0,399.0
201.0,326.0,416.0,356.0,193.0
202.0,357.0,421.0,241.0,83.0
203.0,340.0,328.0,326.0,380.0
204.0,224.0,464.0,322.0,70.0
205.0,411.0,192.0,210.0,76.0
206.0,231.0,249.0,357.0,94.0
207.0,381.0,341.0,296.0,451.0
208.0,366.0,359.0,356.0,46.0
209.0,411.0,208.0,352.0,301.0
210.0,269.0,323.0,357.0,410.0
211.0,168.0,359.0,374.0,194.0
212.0,344.0,346.0,174.0,242.0
213.0,185.0,214.0,356.0,248.0
214.0,318.0,326.0,352.0,409.0
215.0,110.0,330.0,361.0,140.0
216.0,341.0,390.0,323.0,315.0
217.0,352.0,230.0,162.0,204.0
218.0,481.0,352.0,198.0,289.0
219.0,430.0,470.0,212.0,150.0
220.0,434.0,395.0,336.0,327.0
221.0,411.0,339.0,334.0,280.0
222.0,430.0,281.0,333.0,314.0
223.0,394.0,338.0,286.0,419.0
224.0,360.0,320.0,215.0,238.0
225.0,366.0,222.0,242.0,281.0
226.0,287.0,308.0,352.0,343.0
227.0,204.0,344.0,361.0,107.0
228.0,224.0,462.0,177.0,440.0
229.0,333.0,276.0,355.0,206.0
230.0,470.0,251.0,358.0,288.0
231.0,337.0,343.0,365.0,201.0
232.0,298.0,267.0,415.0,137.0
233.0,223.0,323.0,365.0,331.0
234.0,203.0,200.0,361.0,291.0
235.0,417.0,416.0,332.0,326.0
236.0,193.0,416.0,237.0,318.0
237.0,206.0,464.0,187.0,289.0
238.0,343.0,270.0,229.0,305.0
239.0,356.0,343.0,358.0,300.0
240.0,329.0,353.0,336.0,102.0
241.0,181.0,311.0,306.0,325.0
242.0,398.0,292.0,267.0,312.0
243.0,304.0,372.0,207.0,307.0
244.0,306.0,217.0,263.0,323.0
245.0,356.0,358.0,356.0,250.0
246.0,299.0,462.0,361.0,246.0
247.0,364.0,474.0,305.0,320.0
248.0,259.0,299.0,246.0,306.0
249.0,342.0,312.0,230.0,348.0
250.0,299.0,417.0,356.0,302.0
251.0,404.0,284.0,312.0,303.0
252.0,131.0,335.0,189.0,248.0
253.0,154.0,349.0,306.0,295.0
254.0,344.0,272.0,358.0,107.0
255.0,108.0,354.0,336.0,357.0
256.0,352.0,328.0,357.0,165.0
257.0,167.0,248.0,257.0,360.0
258.0,352.0,346.0,326.0,147.0
259.0,361.0,359.0,248.0,257.0
260.0,248.0,391.0,342.0,406.0
261.0,303.0,211.0,219.0,249.0
262.0,348.0,329.0,358.0,170.0
263.0,328.0,330.0,408.0,283.0
264.0,305.0,194.0,361.0,202.0
265.0,417.0,177.0,376.0,174.0
266.0,333.0,230.0,238.0,288.0
267.0,404.0,430.0,254.0,265.0
268.0,334.0,308.0,413.0,205.0
269.0,199.0,407.0,334.0,277.0
270.0,125.0,409.0,342.0,266.0
271.0,327.0,249.0,219.0,440.0
272.0,324.0,330.0,255.0,306.0
273.0,430.0,390.0,317.0,97.0
274.0,182.0,419.0,334.0,232.0
275.0,342.0,360.0,409.0,387.0
276.0,316.0,346.0,204.0,264.0
277.0,306.0,253.0,312.0,416.0
278.0,187.0,237.0,424.0,281.0
279.0,428.0,416.0,335.0,306.0
280.0,352.0,352.0,415.0,343.0
281.0,280.0,337.0,246.0,185.0
282.0,360.0,357.0,297.0,306.0
283.0,128.0,332.0,267.0,55.0
284.0,186.0,320.0,370.0,295.0
285.0,291.0,428.0,336.0,242.0
286.0,411.0,228.0,189.0,291.0
287.0,353.0,164.0,335.0,114.0
288.0,306.0,329.0,386.0,283.0
289.0,357.0,423.0,468.0,306.0
290.0,353.0,391.0,313.0,116.0
291.0,106.0,415.0,356.0,65.0
292.0,356.0,289.0,246.0,204.0
293.0,404.0,417.0,340.0,269.0
294.0,330.0,310.0,357.0,409.0
295.0,316.0,348.0,332.0,156.0
296.0,321.0,360.0,218.0,299.0
297.0,395.0,178.0,415.0,151.0
298.0,357.0,453.0,332.0,282.0
299.0,391.0,353.0,376.0,306.0
300.0,253.0,337.0,334.0,248.0
301.0,352.0,351.0,361.0,306.0
302.0,150.0,338.0,197.0,162.0
303.0,304.0,278.0,427.0,297.0
304.0,417.0,329.0,376.0,123.0
305.0,170.0,417.0,352.0,292.0
306.0,229.0,347.0,309.0,230.0
307.0,372.0,349.0,347.0,55.0
308.0,353.0,349.0,270.0,168.0
309.0,398.0,415.0,232.0,265.0
310.0,324.0,415.0,228.0,277.0
311.0,197.0,330.0,360.0,147.0
312.0,411.0,330.0,314.0,181.0
313.0,238.0,462.0,352.0,288.0
314.0,336.0,200.0,461.0,107.0
315.0,329.0,272.0,231.0,267.0
316.0,295.0,446.0,306.0,326.0
317.0,213.0,237.0,295.0,290.0
318.0,342.0,343.0,165.0,292.0
319.0,303.0,430.0,334.0,145.0
320.0,308.0,164.0,256.0,409.0
321.0,242.0,356.0,314.0,322.0
322.0,370.0,350.0,334.0,206.0
323.0,371.0,253.0,374.0,240.0
324.0,431.0,442.0,256.0,277.0
325.0,379.0,343.0,339.0,242.0
326.0,307.0,283.0,377.0,315.0
327.0,349.0,164.0,295.0,293.0
328.0,404.0,352.0,406.0,282.0
329.0,301.0,277.0,356.0,123.0
330.0,336.0,436.0,249.0,230.0
331.0,342.0,351.0,331.0,147.0
332.0,440.0,330.0,417.0,54.0
333.0,361.0,305.0,340.0,292.0
334.0,352.0,353.0,209.0,238.0
335.0,230.0,412.0,347.0,271.0
336.0,352.0,357.0,240.0,152.0
337.0,465.0,339.0,205.0,323.0
338.0,250.0,358.0,347.0,312.0
339.0,316.0,286.0,376.0,292.0
340.0,280.0,431.0,160.0,199.0
341.0,186.0,366.0,334.0,303.0
342.0,353.0,205.0,472.0,303.0
343.0,347.0,308.0,355.0,189.0
344.0,398.0,419.0,239.0,208.0
345.0,331.0,355.0,295.0,300.0
346.0,371.0,350.0,274.0,277.0
347.0,420.0,344.0,312.0,312.0
348.0,417.0,425.0,174.0,193.0
349.0,356.0,299.0,389.0,230.0
350.0,362.0,310.0,360.0,287.0
351.0,438.0,253.0,343.0,194.0
352.0,283.0,348.0,261.0,208.0
353.0,379.0,224.0,328.0,234.0
354.0,304.0,450.0,253.0,209.0
355.0,360.0,473.0,328.0,277.0
356.0,342.0,213.0,198.0,292.0
357.0,333.0,353.0,353.0,237.0
358.0,348.0,312.0,225.0,302.0
359.0,412.0,204.0,312.0,303.0
360.0,417.0,349.0,288.0,304.0
361.0,348.0,338.0,289.0,73.0
362.0,254.0,352.0,305.0,307.0
363.0,356.0,169.0,377.0,249.0
364.0,219.0,246.0,373.0,184.0
365.0,427.0,346.0,349.0,306.0
366.0,239.0,268.0,356.0,280.0
367.0,342.0,420.0,256.0,205.0
368.0,203.0,359.0,376.0,136.0
369.0,335.0,423.0,372.0,348.0
370.0,285.0,339.0,356.0,327.0
371.0,329.0,419.0,316.0,324.0
372.0,333.0,323.0,409.0,292.0
373.0,398.0,337.0,327.0,59.0
374.0,370.0,385.0,415.0,76.0
375.0,290.0,351.0,208.0,88.0
376.0,349.0,238.0,324.0,266.0
377.0,349.0,248.0,330.0,451.0
378.0,411.0,359.0,320.0,309.0
379.0,306.0,214.0,352.0,277.0
380.0,398.0,303.0,205.0,302.0
381.0,356.0,462.0,321.0,343.0
382.0,197.0,327.0,356.0,250.0
383.0,308.0,304.0,413.0,232.0
384.0,306.0,245.0,279.0,301.0
385.0,297.0,369.0,360.0,153.0
386.0,356.0,353.0,356.0,312.0
387.0,398.0,300.0,312.0,409.0
388.0,352.0,287.0,310.0,100.0
389.0,352.0,349.0,357.0,300.0
390.0,412.0,245.0,189.0,189.0
391.0,342.0,352.0,377.0,399.0
392.0,271.0,340.0,347.0,83.0
393.0,316.0,344.0,315.0,295.0
394.0,349.0,420.0,415.0,390.0
395.0,292.0,352.0,357.0,244.0
396.0,297.0,216.0,356.0,410.0
397.0,302.0,462.0,298.0,401.0
398.0,349.0,234.0,306.0,153.0
399.0,280.0,371.0,288.0,270.0
400.0,379.0,193.0,261.0,174.0
401.0,159.0,149.0,229.0,265.0
402.0,287.0,338.0,332.0,415.0
403.0,334.0,339.0,365.0,306.0
404.0,391.0,222.0,429.0,277.0
405.0,295.0,210.0,348.0,309.0
406.0,398.0,393.0,203.0,414.0
407.0,349.0,359.0,417.0,301.0
408.0,225.0,323.0,318.0,93.0
409.0,166.0,186.0,343.0,157.0
410.0,335.0,352.0,159.0,420.0
411.0,370.0,359.0,358.0,295.0
412.0,304.0,416.0,361.0,312.0
413.0,356.0,474.0,178.0,233.0
414.0,263.0,360.0,256.0,411.0
415.0,347.0,325.0,374.0,260.0
416.0,99.0,211.0,172.0,298.0
417.0,224.0,330.0,297.0,235.0
