0,1,2,3,4
0.0,301.0,339.0,343.0,307.0
1.0,308.0,330.0,237.0,187.0
2.0,325.0,408.0,358.0,200.0
3.0,340.0,309.0,413.0,191.0
4.0,324.0,339.0,197.0,306.0
5.0,416.0,330.0,306.0,166.0
6.0,283.0,239.0,174.0,309.0
7.0,256.0,341.0,240.0,147.0
8.0,349.0,191.0,396.0,323.0
9.0,159.0,330.0,338.0,184.0
10.0,308.0,323.0,426.0,401.0
11.0,242.0,246.0,372.0,100.0
12.0,457.0,176.0,339.0,322.0
13.0,264.0,338.0,324.0,306.0
14.0,271.0,415.0,296.0,152.0
15.0,302.0,265.0,232.0,322.0
16.0,417.0,367.0,261.0,359.0
17.0,330.0,425.0,435.0,290.0
18.0,352.0,416.0,361.0,312.0
19.0,367.0,417.0,278.0,283.0
20.0,305.0,307.0,336.0,242.0
21.0,362.0,416.0,365.0,112.0
22.0,186.0,320.0,252.0,65.0
23.0,334.0,290.0,356.0,46.0
24.0,306.0,190.0,342.0,264.0
25.0,330.0,364.0,236.0,399.0
26.0,333.0,322.0,259.0,139.0
27.0,379.0,302.0,336.0,325.0
28.0,329.0,339.0,320.0,424.0
29.0,159.0,340.0,375.0,265.0
30.0,309.0,210.0,165.0,281.0
31.0,396.0,386.0,228.0,92.0
32.0,376.0,315.0,336.0,138.0
33.0,356.0,464.0,272.0,289.0
34.0,391.0,205.0,160.0,289.0
35.0,193.0,344.0,336.0,440.0
36.0,336.0,336.0,360.0,174.0
37.0,360.0,416.0,195.0,312.0
38.0,348.0,213.0,279.0,86.0
39.0,342.0,176.0,333.0,201.0
40.0,102.0,357.0,358.0,315.0
41.0,440.0,327.0,446.0,264.0
42.0,122.0,415.0,232.0,208.0
43.0,246.0,353.0,202.0,303.0
44.0,333.0,330.0,134.0,418.0
45.0,278.0,343.0,251.0,264.0
46.0,372.0,182.0,389.0,149.0
47.0,404.0,185.0,365.0,167.0
48.0,220.0,337.0,189.0,292.0
49.0,280.0,302.0,298.0,87.0
50.0,352.0,323.0,223.0,191.0
51.0,416.0,266.0,310.0,94.0
52.0,116.0,240.0,446.0,315.0
53.0,187.0,332.0,306.0,180.0
54.0,342.0,327.0,374.0,312.0
55.0,333.0,350.0,198.0,134.0
56.0,342.0,205.0,266.0,401.0
57.0,330.0,366.0,276.0,277.0
58.0,366.0,329.0,332.0,93.0
59.0,299.0,373.0,372.0,106.0
60.0,404.0,421.0,500.0,312.0
61.0,386.0,350.0,298.0,54.0
62.0,309.0,343.0,346.0,203.0
63.0,183.0,358.0,270.0,162.0
64.0,356.0,284.0,349.0,303.0
65.0,172.0,273.0,196.0,285.0
66.0,128.0,323.0,153.0,205.0
67.0,418.0,464.0,340.0,156.0
68.0,355.0,256.0,461.0,93.0
69.0,340.0,212.0,361.0,312.0
70.0,235.0,322.0,340.0,322.0
