0,1,2,3,4
0.0,417.0,416.0,407.0,400.0
1.0,398.0,412.0,409.0,420.0
2.0,121.0,204.0,235.0,123.0
3.0,357.0,372.0,354.0,291.0
4.0,330.0,352.0,376.0,326.0
5.0,265.0,253.0,218.0,151.0
6.0,285.0,314.0,308.0,229.0
7.0,340.0,357.0,320.0,281.0
8.0,337.0,357.0,316.0,281.0
9.0,239.0,244.0,227.0,156.0
10.0,321.0,342.0,291.0,215.0
11.0,367.0,358.0,374.0,315.0
12.0,385.0,392.0,399.0,350.0
13.0,335.0,346.0,334.0,290.0
14.0,309.0,307.0,244.0,205.0
15.0,371.0,357.0,374.0,310.0
16.0,303.0,286.0,305.0,230.0
17.0,255.0,254.0,280.0,168.0
18.0,362.0,344.0,336.0,318.0
19.0,251.0,321.0,263.0,162.0
20.0,295.0,309.0,287.0,211.0
21.0,436.0,445.0,432.0,387.0
22.0,440.0,425.0,446.0,343.0
23.0,259.0,265.0,232.0,182.0
24.0,325.0,329.0,335.0,280.0
25.0,417.0,407.0,446.0,451.0
26.0,305.0,341.0,365.0,323.0
27.0,338.0,358.0,372.0,280.0
28.0,330.0,352.0,376.0,326.0
29.0,295.0,357.0,310.0,265.0
30.0,272.0,268.0,246.0,200.0
31.0,276.0,244.0,228.0,198.0
32.0,306.0,294.0,259.0,172.0
33.0,316.0,339.0,328.0,292.0
34.0,355.0,378.0,336.0,301.0
35.0,342.0,346.0,326.0,294.0
36.0,430.0,415.0,427.0,381.0
37.0,316.0,339.0,328.0,292.0
38.0,372.0,381.0,384.0,340.0
39.0,303.0,343.0,352.0,288.0
40.0,355.0,372.0,354.0,306.0
41.0,353.0,368.0,330.0,303.0
42.0,417.0,407.0,446.0,451.0
43.0,355.0,367.0,354.0,304.0
44.0,344.0,353.0,342.0,302.0
45.0,333.0,363.0,290.0,267.0
46.0,310.0,337.0,310.0,261.0
47.0,431.0,430.0,426.0,380.0
48.0,303.0,286.0,305.0,230.0
49.0,409.0,472.0,420.0,411.0
50.0,347.0,330.0,352.0,295.0
51.0,361.0,364.0,373.0,315.0
52.0,412.0,417.0,413.0,334.0
53.0,201.0,253.0,265.0,199.0
54.0,306.0,302.0,284.0,245.0
55.0,361.0,364.0,373.0,315.0
56.0,370.0,350.0,321.0,322.0
57.0,306.0,280.0,275.0,192.0
58.0,281.0,286.0,299.0,170.0
59.0,440.0,425.0,446.0,343.0
60.0,361.0,364.0,373.0,315.0
61.0,330.0,352.0,376.0,326.0
62.0,203.0,185.0,208.0,111.0
63.0,298.0,281.0,291.0,236.0
64.0,338.0,367.0,357.0,295.0
65.0,197.0,199.0,174.0,83.0
66.0,270.0,256.0,267.0,193.0
67.0,330.0,327.0,334.0,312.0
68.0,278.0,280.0,232.0,187.0
69.0,334.0,349.0,344.0,268.0
70.0,122.0,213.0,238.0,136.0
71.0,252.0,318.0,260.0,157.0
72.0,351.0,351.0,334.0,260.0
73.0,355.0,372.0,354.0,306.0
74.0,417.0,416.0,407.0,400.0
75.0,370.0,354.0,377.0,293.0
76.0,386.0,375.0,389.0,348.0
77.0,315.0,344.0,352.0,300.0
78.0,303.0,322.0,331.0,269.0
79.0,467.0,472.0,431.0,426.0
80.0,429.0,440.0,432.0,387.0
81.0,303.0,298.0,230.0,198.0
82.0,334.0,328.0,340.0,282.0
83.0,263.0,321.0,301.0,229.0
84.0,371.0,348.0,376.0,327.0
85.0,370.0,349.0,375.0,327.0
86.0,140.0,240.0,169.0,106.0
87.0,391.0,390.0,387.0,345.0
88.0,337.0,373.0,348.0,283.0
89.0,302.0,343.0,352.0,285.0
90.0,353.0,368.0,330.0,303.0
91.0,310.0,323.0,318.0,265.0
92.0,315.0,344.0,358.0,300.0
93.0,186.0,192.0,166.0,86.0
94.0,378.0,359.0,334.0,315.0
95.0,366.0,364.0,356.0,301.0
96.0,328.0,330.0,330.0,269.0
97.0,300.0,287.0,271.0,224.0
98.0,328.0,332.0,336.0,262.0
99.0,398.0,412.0,409.0,420.0
100.0,404.0,421.0,415.0,409.0
101.0,251.0,204.0,256.0,176.0
102.0,342.0,346.0,326.0,294.0
103.0,426.0,464.0,462.0,435.0
104.0,347.0,330.0,352.0,295.0
105.0,272.0,249.0,190.0,152.0
106.0,278.0,307.0,295.0,203.0
107.0,124.0,215.0,209.0,142.0
108.0,210.0,245.0,257.0,189.0
109.0,411.0,462.0,415.0,384.0
110.0,329.0,330.0,340.0,282.0
111.0,396.0,409.0,406.0,411.0
112.0,194.0,174.0,224.0,135.0
113.0,285.0,281.0,297.0,224.0
114.0,356.0,350.0,357.0,312.0
115.0,372.0,356.0,374.0,324.0
116.0,417.0,416.0,405.0,424.0
117.0,180.0,167.0,182.0,77.0
118.0,355.0,372.0,354.0,306.0
119.0,108.0,215.0,142.0,136.0
120.0,264.0,312.0,279.0,214.0
121.0,398.0,412.0,409.0,420.0
122.0,331.0,336.0,306.0,219.0
123.0,266.0,268.0,257.0,110.0
124.0,145.0,238.0,257.0,164.0
125.0,391.0,470.0,365.0,360.0
126.0,315.0,348.0,352.0,300.0
127.0,342.0,336.0,338.0,281.0
128.0,159.0,154.0,164.0,58.0
129.0,302.0,299.0,309.0,217.0
130.0,303.0,286.0,305.0,230.0
131.0,398.0,408.0,404.0,360.0
132.0,137.0,220.0,243.0,141.0
133.0,179.0,173.0,190.0,86.0
134.0,185.0,194.0,162.0,96.0
135.0,370.0,359.0,375.0,304.0
136.0,398.0,464.0,408.0,401.0
137.0,356.0,368.0,356.0,303.0
138.0,291.0,321.0,275.0,203.0
139.0,340.0,361.0,377.0,307.0
140.0,440.0,415.0,446.0,360.0
141.0,432.0,430.0,439.0,415.0
142.0,337.0,373.0,348.0,283.0
143.0,328.0,332.0,336.0,265.0
144.0,166.0,246.0,265.0,183.0
145.0,293.0,289.0,224.0,200.0
146.0,250.0,254.0,240.0,171.0
147.0,305.0,341.0,365.0,325.0
148.0,352.0,352.0,358.0,312.0
149.0,304.0,299.0,309.0,183.0
150.0,370.0,354.0,377.0,293.0
151.0,316.0,331.0,333.0,236.0
152.0,352.0,352.0,358.0,312.0
153.0,364.0,349.0,356.0,301.0
154.0,107.0,207.0,128.0,116.0
155.0,263.0,321.0,316.0,209.0
156.0,398.0,464.0,408.0,401.0
157.0,309.0,310.0,312.0,235.0
158.0,340.0,352.0,320.0,292.0
159.0,356.0,364.0,360.0,306.0
160.0,324.0,337.0,297.0,225.0
161.0,283.0,268.0,236.0,173.0
162.0,259.0,265.0,232.0,182.0
163.0,306.0,338.0,324.0,246.0
164.0,340.0,361.0,377.0,307.0
165.0,305.0,338.0,324.0,246.0
166.0,332.0,342.0,318.0,246.0
167.0,404.0,420.0,417.0,409.0
168.0,204.0,181.0,234.0,142.0
169.0,292.0,288.0,305.0,171.0
170.0,357.0,341.0,361.0,306.0
171.0,340.0,359.0,316.0,281.0
172.0,353.0,329.0,334.0,312.0
173.0,356.0,364.0,360.0,306.0
174.0,330.0,324.0,340.0,282.0
175.0,335.0,346.0,334.0,290.0
176.0,309.0,339.0,289.0,247.0
177.0,278.0,309.0,278.0,162.0
178.0,293.0,276.0,244.0,157.0
179.0,268.0,266.0,283.0,207.0
180.0,175.0,234.0,210.0,134.0
181.0,349.0,359.0,357.0,306.0
182.0,334.0,327.0,340.0,282.0
183.0,314.0,323.0,328.0,277.0
184.0,353.0,368.0,330.0,303.0
185.0,342.0,336.0,326.0,309.0
186.0,145.0,158.0,118.0,43.0
187.0,145.0,162.0,120.0,43.0
188.0,338.0,367.0,357.0,295.0
189.0,416.0,440.0,468.0,426.0
190.0,356.0,351.0,357.0,312.0
191.0,328.0,332.0,336.0,265.0
192.0,398.0,464.0,408.0,401.0
193.0,411.0,474.0,416.0,415.0
194.0,357.0,358.0,346.0,292.0
195.0,197.0,210.0,181.0,93.0
196.0,342.0,349.0,347.0,311.0
197.0,309.0,328.0,337.0,278.0
198.0,372.0,356.0,374.0,324.0
199.0,355.0,371.0,354.0,306.0
200.0,357.0,358.0,346.0,292.0
201.0,197.0,208.0,181.0,93.0
202.0,366.0,372.0,353.0,302.0
203.0,355.0,372.0,354.0,306.0
204.0,330.0,352.0,376.0,326.0
205.0,353.0,337.0,359.0,303.0
206.0,422.0,419.0,434.0,389.0
207.0,392.0,404.0,400.0,357.0
208.0,289.0,252.0,231.0,157.0
209.0,300.0,286.0,246.0,160.0
210.0,118.0,203.0,210.0,127.0
211.0,204.0,181.0,234.0,159.0
212.0,275.0,242.0,235.0,141.0
213.0,391.0,474.0,365.0,360.0
214.0,133.0,243.0,166.0,154.0
215.0,194.0,276.0,216.0,174.0
216.0,316.0,297.0,324.0,260.0
217.0,321.0,336.0,287.0,211.0
218.0,301.0,303.0,303.0,230.0
219.0,303.0,286.0,305.0,230.0
220.0,218.0,170.0,256.0,175.0
221.0,315.0,348.0,352.0,298.0
222.0,391.0,474.0,364.0,360.0
223.0,289.0,311.0,290.0,232.0
224.0,201.0,245.0,257.0,189.0
225.0,281.0,304.0,281.0,220.0
226.0,303.0,286.0,305.0,230.0
227.0,306.0,320.0,296.0,209.0
228.0,234.0,296.0,240.0,132.0
229.0,336.0,359.0,334.0,289.0
230.0,417.0,416.0,409.0,406.0
231.0,305.0,341.0,365.0,322.0
232.0,197.0,180.0,195.0,93.0
233.0,263.0,312.0,266.0,189.0
234.0,372.0,356.0,374.0,324.0
235.0,232.0,275.0,232.0,146.0
236.0,220.0,209.0,190.0,129.0
237.0,337.0,359.0,316.0,282.0
238.0,187.0,188.0,160.0,93.0
239.0,161.0,239.0,261.0,172.0
240.0,324.0,286.0,274.0,255.0
241.0,264.0,312.0,279.0,214.0
242.0,331.0,331.0,318.0,245.0
243.0,159.0,170.0,128.0,55.0
244.0,197.0,208.0,181.0,93.0
245.0,332.0,308.0,335.0,299.0
246.0,312.0,290.0,283.0,204.0
247.0,347.0,330.0,352.0,295.0
248.0,360.0,354.0,356.0,292.0
249.0,360.0,359.0,334.0,315.0
250.0,329.0,330.0,339.0,282.0
251.0,349.0,359.0,357.0,306.0
252.0,337.0,373.0,348.0,283.0
