0,1,2,3,4
0.0,50557.09375,60046.60546875,47033.984375,68353.8359375
1.0,49758.6015625,60075.1796875,46745.9375,67704.3046875
2.0,49696.1171875,60443.41796875,46855.4609375,67230.5
3.0,49629.09375,60052.21875,46855.4609375,67321.8203125
4.0,49636.71484375,60301.19921875,46927.8359375,67464.8984375
5.0,49724.640625,60330.53515625,47000.86328125,67656.65625
6.0,49600.01171875,60317.26953125,46745.61328125,67888.265625
7.0,49686.984375,60092.26953125,46769.45703125,70786.8359375
8.0,49514.10546875,60174.66796875,46916.94140625,68657.9453125
9.0,49724.640625,60721.48046875,47033.65625,67369.0234375
10.0,50720.22265625,60236.66015625,46745.9375,68530.4453125
11.0,50950.59765625,60295.5859375,46805.2265625,67916.5
12.0,187387.046875,60047.24609375,46772.0546875,67176.8203125
13.0,50394.91796875,60103.49609375,47137.15234375,67199.6171875
14.0,49636.71484375,60331.046875,46924.67578125,68290.015625
15.0,49648.1484375,60045.33203125,46750.55859375,67425.34375
16.0,49952.88671875,60160.0,46787.05859375,67261.671875
17.0,49716.2890625,60443.41796875,46768.64453125,67568.8671875
18.0,50138.65234375,60241.50390625,47048.2578125,67294.7578125
19.0,49736.51953125,60132.703125,46767.40234375,69512.171875
20.0,49706.484375,60273.39453125,46767.40234375,69459.0859375
21.0,49515.50390625,60101.32421875,46733.06640625,67198.5859375
22.0,49591.60546875,60310.25390625,46763.88671875,69551.2890625
23.0,49946.72265625,60284.6171875,46767.40234375,67176.8203125
24.0,49722.51171875,60200.3046875,46753.9921875,67313.2890625
25.0,49881.94140625,60298.39453125,46776.8125,67313.2890625
26.0,49546.1015625,60298.13671875,46802.25390625,67258.875
27.0,49557.30859375,60130.7890625,47184.49609375,67520.046875
28.0,49561.9609375,61668.0390625,46733.60546875,67942.53125
29.0,49724.640625,60152.47265625,46772.80859375,70755.8046875
30.0,49577.8203125,60546.3515625,46815.6640625,67317.9921875
31.0,51067.828125,60102.34765625,46733.984375,67194.03125
32.0,50641.54296875,60045.203125,46882.95703125,67446.078125
33.0,49880.59765625,60307.83203125,46816.5,67060.5
34.0,50014.19140625,62039.98046875,46785.8671875,67298.875
35.0,49639.0703125,60089.97265625,46828.9921875,67297.40625
36.0,49544.8671875,60132.703125,47161.1875,67085.0625
37.0,50281.609375,60062.296875,46786.11328125,67054.765625
38.0,49972.72265625,60093.1640625,46747.015625,67081.828125
39.0,50014.19140625,60071.09765625,46776.703125,67344.609375
40.0,49635.5390625,60132.703125,46861.21875,67199.6171875
41.0,49672.30078125,60130.7890625,46753.9921875,67834.4453125
42.0,49874.15234375,60140.73828125,46732.28125,67039.625
43.0,49655.0390625,60092.26953125,46777.37890625,67503.1328125
44.0,49597.265625,60110.25390625,46731.8515625,70918.296875
45.0,49672.30078125,60140.73828125,46737.2578125,67069.03125
46.0,49665.015625,60693.9296875,46745.9375,67414.1640625
47.0,49643.046875,61196.73828125,46747.80078125,67313.2890625
48.0,49759.55078125,60170.83984375,46781.65234375,67848.4140625
49.0,50073.703125,60102.34765625,46733.95703125,68358.3984375
50.0,49517.01953125,60142.26953125,47411.7109375,67553.5703125
51.0,49777.93359375,60046.09765625,46759.94140625,67446.078125
52.0,50211.11328125,60594.3125,46731.71484375,68248.3984375
53.0,50825.51953125,60461.78515625,46995.18359375,67503.1328125
54.0,49653.9765625,60148.13671875,46768.51171875,67477.6953125
55.0,49658.515625,60653.11328125,46772.80859375,70391.40625
56.0,49784.9921875,60094.94921875,46775.37890625,67909.4453125
57.0,50023.046875,60142.26953125,46746.4765625,67308.4375
58.0,49520.7734375,60234.87109375,46785.03125,68711.6171875
59.0,49648.1484375,60243.41796875,46945.05859375,67054.765625
60.0,49651.34375,60344.18359375,46733.25390625,67069.03125
61.0,49523.796875,60104.8984375,46756.5078125,68817.203125
62.0,49676.3359375,60580.91796875,46753.75,67425.34375
63.0,49643.046875,60102.34765625,46927.8359375,67491.21875
64.0,49803.59765625,60152.47265625,46861.21875,67070.6484375
65.0,49850.7265625,60132.703125,46802.25390625,67502.8359375
66.0,49643.046875,60705.5390625,46747.015625,67473.578125
67.0,49522.33984375,60130.7890625,46731.41796875,69902.75
68.0,49636.71484375,60328.62109375,46783.83984375,67458.7265625
69.0,49643.046875,60246.60546875,46775.02734375,74506.1015625
70.0,49789.140625,60104.8984375,46828.9921875,67313.2890625
71.0,49583.87109375,60155.91796875,46776.78515625,67656.65625
72.0,49779.109375,60103.23828125,46772.80859375,67136.6796875
73.0,50063.39453125,60714.08203125,46795.140625,67690.921875
74.0,49744.703125,60075.81640625,46733.06640625,67502.8359375
75.0,49724.640625,60167.3984375,46772.80859375,67308.4375
76.0,49520.7734375,60093.1640625,46771.80859375,67313.5859375
77.0,49621.08203125,60042.90625,46748.85546875,67194.03125
78.0,50713.328125,60586.66015625,46745.9375,67536.0703125
79.0,49643.046875,60638.69921875,46776.8125,67199.6171875
80.0,49557.30859375,60094.94921875,46767.40234375,67054.765625
81.0,49615.1953125,60118.546875,46878.0078125,67361.8125
82.0,49579.33203125,60726.19921875,46731.41796875,68530.4453125
83.0,49615.92578125,60050.05078125,46747.015625,68400.6015625
84.0,49648.765625,60173.265625,46917.48046875,67293.4375
85.0,49874.15234375,60061.78515625,46971.5,67321.8203125
86.0,49988.078125,60212.55078125,46807.5234375,67219.0234375
87.0,49514.77734375,60172.24609375,46855.4609375,67264.7578125
88.0,49874.15234375,60130.7890625,46733.60546875,67258.875
89.0,50307.9453125,60046.09765625,46733.60546875,67189.6171875
90.0,49781.96875,60443.41796875,47185.33203125,67264.7578125
91.0,59385.46875,60472.1171875,46753.75,67102.5625
92.0,49682.4453125,60351.58203125,46822.98828125,67464.8984375
93.0,49667.08984375,60361.53125,46753.75,67258.875
94.0,49652.3515625,60042.26953125,46861.21875,67487.84375
95.0,49874.15234375,60302.4765625,46756.5078125,67196.8203125
96.0,49648.1484375,60102.34765625,46743.53125,67081.828125
97.0,49798.5546875,60045.203125,46732.76953125,74506.1015625
