0,1,2,3
0.0,-587.0,-553.0,-803.0
1.0,-557.0,-398.0,-791.0
2.0,-617.0,-573.0,-822.0
3.0,-611.0,-566.0,-695.0
4.0,-576.0,-550.0,-830.0
5.0,-588.0,-542.0,-831.0
6.0,-582.0,-535.0,-833.0
7.0,-612.0,-497.0,-786.0
8.0,-574.0,-556.0,-789.0
9.0,-586.0,-576.0,-822.0
10.0,-606.0,-561.0,-823.0
11.0,-613.0,-562.0,-828.0
12.0,-596.0,-549.0,-788.0
13.0,-588.0,-549.0,-773.0
14.0,-620.0,-554.0,-786.0
15.0,-548.0,-578.0,-756.0
16.0,-600.0,-561.0,-789.0
17.0,-597.0,-560.0,-818.0
18.0,-615.0,-572.0,-823.0
19.0,-615.0,-568.0,-789.0
20.0,-604.0,-575.0,-803.0
21.0,-580.0,-562.0,-826.0
22.0,-607.0,-568.0,-817.0
23.0,-610.0,-566.0,-822.0
24.0,-612.0,-562.0,-740.0
25.0,-600.0,-562.0,-801.0
26.0,-620.0,-550.0,-825.0
27.0,-606.0,-555.0,-825.0
28.0,-612.0,-515.0,-708.0
29.0,-594.0,-536.0,-812.0
30.0,-614.0,-575.0,-788.0
31.0,-610.0,-542.0,-828.0
32.0,-561.0,-571.0,-688.0
33.0,-617.0,-575.0,-818.0
34.0,-588.0,-553.0,-826.0
35.0,-600.0,-569.0,-826.0
36.0,-588.0,-577.0,-821.0
37.0,-478.0,-567.0,-812.0
38.0,-580.0,-542.0,-819.0
39.0,-598.0,-562.0,-762.0
40.0,-611.0,-548.0,-788.0
41.0,-589.0,-564.0,-830.0
42.0,-580.0,-577.0,-802.0
43.0,-555.0,-568.0,-790.0
44.0,-618.0,-572.0,-707.0
45.0,-596.0,-531.0,-778.0
46.0,-588.0,-515.0,-806.0
47.0,-607.0,-551.0,-804.0
48.0,-560.0,-550.0,-819.0
49.0,-605.0,-317.0,-811.0
50.0,-617.0,-553.0,-825.0
51.0,-563.0,-504.0,-806.0
52.0,-561.0,-548.0,-823.0
53.0,-589.0,-497.0,-804.0
54.0,-614.0,-555.0,-830.0
55.0,-621.0,-550.0,-778.0
56.0,-598.0,-571.0,-806.0
57.0,-585.0,-561.0,-828.0
58.0,-615.0,-576.0,-789.0
59.0,-617.0,-494.0,-787.0
60.0,-620.0,-572.0,-831.0
61.0,-524.0,-574.0,-802.0
62.0,-584.0,-577.0,-828.0
63.0,-608.0,-539.0,-771.0
