0,1,2
0.0,-612.0,-806.0
1.0,-612.0,-787.0
2.0,-556.0,-823.0
3.0,-590.0,-771.0
4.0,-614.0,-822.0
5.0,-616.0,-811.0
6.0,-614.0,-797.0
7.0,-617.0,-769.0
8.0,-606.0,-828.0
9.0,-618.0,-809.0
10.0,-590.0,-769.0
11.0,-596.0,-818.0
12.0,-620.0,-713.0
13.0,-585.0,-817.0
14.0,-610.0,-765.0
15.0,-609.0,-802.0
16.0,-599.0,-831.0
17.0,-611.0,-820.0
18.0,-604.0,-779.0
19.0,-620.0,-813.0
20.0,-599.0,-788.0
21.0,-600.0,-821.0
22.0,-593.0,-824.0
23.0,-570.0,-791.0
24.0,-582.0,-813.0
25.0,-607.0,-818.0
26.0,-607.0,-823.0
27.0,-610.0,-827.0
28.0,-615.0,-779.0
29.0,-574.0,-791.0
30.0,-612.0,-830.0
31.0,-569.0,-814.0
32.0,-575.0,-810.0
33.0,-610.0,-771.0
34.0,-581.0,-811.0
35.0,-590.0,-766.0
36.0,-616.0,-813.0
37.0,-556.0,-821.0
38.0,-582.0,-688.0
39.0,-608.0,-831.0
40.0,-602.0,-746.0
41.0,-566.0,-606.0
42.0,-598.0,-822.0
43.0,-615.0,-818.0
44.0,-565.0,-567.0
45.0,-598.0,-818.0
46.0,-617.0,-790.0
47.0,-617.0,-819.0
48.0,-588.0,-746.0
49.0,-618.0,-830.0
50.0,-576.0,-808.0
51.0,-613.0,-830.0
52.0,-598.0,-823.0
53.0,-614.0,-770.0
54.0,-607.0,-743.0
55.0,-582.0,-832.0
56.0,-565.0,-826.0
57.0,-614.0,-792.0
58.0,-606.0,-822.0
59.0,-602.0,-822.0
60.0,-565.0,-802.0
61.0,-614.0,-822.0
62.0,-620.0,-794.0
63.0,-608.0,-818.0
64.0,-607.0,-827.0
65.0,-562.0,-797.0
66.0,-614.0,-792.0
67.0,-611.0,-835.0
68.0,-575.0,-796.0
69.0,-613.0,-783.0
70.0,-602.0,-783.0
71.0,-590.0,-822.0
72.0,-582.0,-769.0
73.0,-611.0,-812.0
74.0,-615.0,-761.0
75.0,-574.0,-739.0
76.0,-615.0,-810.0
77.0,-560.0,-788.0
78.0,-574.0,-758.0
79.0,-616.0,-828.0
80.0,-583.0,-834.0
81.0,-613.0,-827.0
82.0,-608.0,-823.0
83.0,-613.0,-722.0
84.0,-598.0,-828.0
85.0,-620.0,-817.0
86.0,-538.0,-834.0
87.0,-607.0,-766.0
88.0,-565.0,-735.0
89.0,-614.0,-806.0
90.0,-615.0,-821.0
91.0,-563.0,-814.0
92.0,-612.0,-828.0
93.0,-614.0,-804.0
94.0,-346.0,-829.0
95.0,-608.0,-803.0
96.0,-598.0,-645.0
97.0,-561.0,-792.0
98.0,-613.0,-827.0
99.0,-620.0,-802.0
100.0,-549.0,-789.0
101.0,-607.0,-788.0
102.0,-589.0,-634.0
103.0,-604.0,-806.0
104.0,-605.0,-819.0
105.0,-614.0,-778.0
106.0,-412.0,-770.0
107.0,-605.0,-828.0
108.0,-462.0,-789.0
109.0,-614.0,-756.0
110.0,-612.0,-803.0
111.0,-611.0,-525.0
112.0,-611.0,-773.0
113.0,-613.0,-830.0
114.0,-564.0,-827.0
115.0,-618.0,-770.0
116.0,-610.0,-787.0
117.0,-615.0,-827.0
118.0,-620.0,-831.0
119.0,-506.0,-792.0
120.0,-608.0,-792.0
121.0,-549.0,-818.0
122.0,-603.0,-826.0
123.0,-605.0,-828.0
124.0,-589.0,-809.0
125.0,-599.0,-784.0
126.0,-614.0,-812.0
127.0,-619.0,-771.0
128.0,-620.0,-790.0
129.0,-601.0,-834.0
130.0,-598.0,-795.0
131.0,-614.0,-828.0
132.0,-569.0,-780.0
133.0,-615.0,-802.0
134.0,-620.0,-808.0
135.0,-583.0,-708.0
136.0,-567.0,-834.0
137.0,-596.0,-819.0
138.0,-604.0,-825.0
