Corner1,Corner2,Corner3,Corner4,Corner5,Corner6,Corner7,Corner8,Corner9,Corner10,Corner11,Corner12,Corner13,Corner14
356.4,333.5,604,244,269.4,347.2,471.3,286.1,403.9,392.7,711.5,464.3,417.6,647.5
569.7,331.1,604.3,576.7,544.5,665.9,688.2,286.2,465.6,491.1,772.6,587.1,549.6,428.7
437.1,460,279.3,399.4,264.2,483.1,286.7,274.7,667.5,277,593.4,549.5,750.7,382.1
420.6,508.3,569.2,309.4,579.8,718.2,631.1,609.4,537.1,300.3,465.8,320.8,566.9,756.9
313.1,632.7,282,584.6,356.3,275.1,510.7,565.9,412,717.5,574.9,302.3,734.9,328.9
235.2,255.4,243.9,324.2,673.4,568.9,328.7,696.8,627.3,391.3,599.2,624.9,410,724.3
436.9,233.9,257.3,318.9,673.1,733.9,567.6,685.9,474.3,403.2,460,477.8,614,797.5
627.6,627.2,523.1,296.8,376.7,234.9,460.8,564.3,486.8,370.6,518.6,390.4,308.1,415.6
521.2,236.5,465,607.1,604.2,516.5,497.5,472.2,342.6,550.1,454.2,515.1,339.1,352
530.6,631.2,253.5,549.7,564.5,690.4,408,365.5,728.8,372,380.8,312.2,349.5,703.2
516.6,260.3,443.9,257.9,327.6,334,657.1,706.8,402.9,645.2,584.6,377.4,331.5,440.6
353.1,232,430.8,386.8,621.3,276.6,678.2,631.9,516.8,579.4,794.3,427.2,459.8,798.9
661,374.1,327.7,679.9,519,612.3,534.9,328.9,641.1,452.1,668.2,683.6,722.9,349.7
369.4,634.3,303.1,488.1,235.1,369.6,626.6,611.8,697,321.7,708.7,711.1,356.3,488.1
603.7,677.8,539.6,412.9,654,557.1,418.3,601.8,286.2,526,612.3,473.6,723.4,780.5
595.1,511.3,478.4,252.2,269.7,415,479.4,428.4,424,519.6,585.2,643.9,529.6,690.6
242.2,631.2,462,526.7,332.1,307.8,570,435.1,359.5,766.8,401.9,324.2,491.5,637.1
615.3,630.3,467.6,468.3,412,509,580.2,549.6,500.8,311.5,371.5,531.6,487.9,317.1
373.1,461.9,580.5,668.6,423.2,616.3,443.6,504.6,729.8,327.9,434.2,699.5,333.1,623.3
376.9,608.7,275.4,641.6,460.7,647.6,668,438.6,421.9,333.3,302.2,606.8,506.5,792.4
596.4,563.8,231.3,415.5,427.3,316.5,248.8,352.9,508.9,378.9,792.4,655.3,429.9,792.7
579.1,543.1,320.1,304.7,307.4,406,490.3,538.8,379.3,406.7,755.8,624.8,698,645.9
384.7,583.9,299.1,580.5,595.5,509.5,534.9,537.9,703.2,274,404.9,565.4,344,660.4
373.5,294.9,387.2,260.5,581.5,564.3,414.9,544.9,339.5,447.4,364.9,388.4,794.9,784.2
270.6,295.3,357.3,303,368.4,564.7,386.2,308,628.9,455,631.5,502.6,499,517.7
298.4,427.9,315.6,665.3,537.6,556.7,423.8,501,373.6,494.3,662.8,589.5,491.2,501
651.8,245.7,581.3,530.8,561.7,466.5,548.7,713.2,450.6,420.3,473.8,628.3,710.1,752.9
573.5,257.1,392.6,627.2,368.2,622.3,361.7,661.7,532.3,393,433.6,742.3,640.2,672
365.4,323.9,275.8,322.9,471.4,430.5,665.8,465.2,278.5,627.4,420.2,534.4,300.5,670
381.3,328.2,365.3,324.7,460.8,443.6,652.6,333.7,342.1,572.7,357.3,438.3,629.1,612.3
609.1,504.4,512.9,305.7,648.4,516.4,345.8,571.4,287.3,662.5,409.5,482.6,698.7,741.5
633.9,615.2,450.5,577.6,431.8,531.5,643.9,336,383.8,677.1,649.5,506,726.5,519.9
343.2,369.4,254.3,266.7,642.7,310.5,625.3,445.2,746.3,713.8,678.9,515.3,671.6,591.1
257.7,675.9,434.6,406.5,447.4,438,346.4,517.6,451.4,365.5,584,514.9,566.5,508.6
403.8,315.5,431.6,378,649.9,597.7,312,674.9,757.8,531.9,406.8,659.4,557.6,599.1
618.2,633.9,520.6,276.2,459.6,241.1,449.1,266.3,733.4,657.5,739.1,451.5,422.2,758.8
603.1,638.4,280.5,379.5,630.9,558.3,351,250.7,728.3,584.4,594.2,622.9,378.6,424.1
297.4,434.4,395.4,292.2,427.3,456,430.5,611.8,719.4,750.7,715.9,369.1,664,531.5
378.2,542.2,568.4,320,489.8,688.5,555.3,395.6,409.9,467.1,682,678.8,552.2,318.3
