,Corner1,Corner2,Corner3,Corner4,Corner5,Corner6,Corner7,Corner8,Corner9,Corner10,Corner11,Corner12,Corner13,Corner14,slack
path1,3.564,3.335,6.04,2.44,2.694,3.472,4.713,2.861,4.039,3.927,7.115,4.643,4.176,6.475,29.748
path2,5.697,3.311,6.043,5.767,5.445,6.659,6.882,2.862,4.656,4.911,7.726,5.871,5.496,4.287,37.807
path3,4.371,4.6,2.793,3.994,2.642,4.831,2.867,2.747,6.675,2.77,5.934,5.495,7.507,3.821,30.522
path4,4.206,5.083,5.692,3.094,5.798,7.182,6.311,6.094,5.371,3.003,4.658,3.208,5.669,7.569,36.469
path5,3.131,6.327,2.82,5.846,3.563,2.751,5.107,5.659,4.12,7.175,5.749,3.023,7.349,3.289,32.955
path6,2.352,2.554,2.439,3.242,6.734,5.689,3.287,6.968,6.273,3.913,5.992,6.249,4.1,7.243,33.517
path7,4.369,2.339,2.573,3.189,6.731,7.339,5.676,6.859,4.743,4.032,4.6,4.778,6.14,7.975,35.671
path8,6.276,6.272,5.231,2.968,3.767,2.349,4.608,5.643,4.868,3.706,5.186,3.904,3.081,4.156,31.008
path9,5.212,2.365,4.65,6.071,6.042,5.165,4.975,4.722,3.426,5.501,4.542,5.151,3.391,3.52,32.367
path10,5.306,6.312,2.535,5.497,5.645,6.904,4.08,3.655,7.288,3.72,3.808,3.122,3.495,7.032,34.199
path11,5.166,2.603,4.439,2.579,3.276,3.34,6.571,7.068,4.029,6.452,5.846,3.774,3.315,4.406,31.432
path12,3.531,2.32,4.308,3.868,6.213,2.766,6.782,6.319,5.168,5.794,7.943,4.272,4.598,7.989,35.935
path13,6.61,3.741,3.277,6.799,5.19,6.123,5.349,3.289,6.411,4.521,6.682,6.836,7.229,3.497,37.776
path14,3.694,6.343,3.031,4.881,2.351,3.696,6.266,6.118,6.97,3.217,7.087,7.111,3.563,4.881,34.606
path15,6.037,6.778,5.396,4.129,6.54,5.571,4.183,6.018,2.862,5.26,6.123,4.736,7.234,7.805,39.336
path16,5.951,5.113,4.784,2.522,2.697,4.15,4.794,4.284,4.24,5.196,5.852,6.439,5.296,6.906,34.112
path17,2.422,6.312,4.62,5.267,3.321,3.078,5.7,4.351,3.595,7.668,4.019,3.242,4.915,6.371,32.44
path18,6.153,6.303,4.676,4.683,4.12,5.09,5.802,5.496,5.008,3.115,3.715,5.316,4.879,3.171,33.764
path19,3.731,4.619,5.805,6.686,4.232,6.163,4.436,5.046,7.298,3.279,4.342,6.995,3.331,6.233,36.098
path20,3.769,6.087,2.754,6.416,4.607,6.476,6.68,4.386,4.219,3.333,3.022,6.068,5.065,7.924,35.403
path21,5.964,5.638,2.313,4.155,4.273,3.165,2.488,3.529,5.089,3.789,7.924,6.553,4.299,7.927,33.552
path22,5.791,5.431,3.201,3.047,3.074,4.06,4.903,5.388,3.793,4.067,7.558,6.248,6.98,6.459,35
path23,3.847,5.839,2.991,5.805,5.955,5.095,5.349,5.379,7.032,2.74,4.049,5.654,3.44,6.604,34.89
path24,3.735,2.949,3.872,2.605,5.815,5.643,4.149,5.449,3.395,4.474,3.649,3.884,7.949,7.842,32.705
path25,2.706,2.953,3.573,3.03,3.684,5.647,3.862,3.08,6.289,4.55,6.315,5.026,4.99,5.177,30.441
path26,2.984,4.279,3.156,6.653,5.376,5.567,4.238,5.01,3.736,4.943,6.628,5.895,4.912,5.01,34.194
path27,6.518,2.457,5.813,5.308,5.617,4.665,5.487,7.132,4.506,4.203,4.738,6.283,7.101,7.529,38.679
path28,5.735,2.571,3.926,6.272,3.682,6.223,3.617,6.617,5.323,3.93,4.336,7.423,6.402,6.72,36.389
path29,3.654,3.239,2.758,3.229,4.714,4.305,6.658,4.652,2.785,6.274,4.202,5.344,3.005,6.7,30.761
path30,3.813,3.282,3.653,3.247,4.608,4.436,6.526,3.337,3.421,5.727,3.573,4.383,6.291,6.123,31.21
path31,6.091,5.044,5.129,3.057,6.484,5.164,3.458,5.714,2.873,6.625,4.095,4.826,6.987,7.415,36.48
path32,6.339,6.152,4.505,5.776,4.318,5.315,6.439,3.36,3.838,6.771,6.495,5.06,7.265,5.199,38.416
path33,3.432,3.694,2.543,2.667,6.427,3.105,6.253,4.452,7.463,7.138,6.789,5.153,6.716,5.911,35.87
path34,2.577,6.759,4.346,4.065,4.474,4.38,3.464,5.176,4.514,3.655,5.84,5.149,5.665,5.086,32.576
path35,4.038,3.155,4.316,3.78,6.499,5.977,3.12,6.749,7.578,5.319,4.068,6.594,5.576,5.991,36.379
path36,6.182,6.339,5.206,2.762,4.596,2.411,4.491,2.663,7.334,6.575,7.391,4.515,4.222,7.588,36.138
path37,6.031,6.384,2.805,3.795,6.309,5.583,3.51,2.507,7.283,5.844,5.942,6.229,3.786,4.241,35.126
path38,2.974,4.344,3.954,2.922,4.273,4.56,4.305,6.118,7.194,7.507,7.159,3.691,6.64,5.315,35.478
path39,3.782,5.422,5.684,3.2,4.898,6.885,5.553,3.956,4.099,4.671,6.82,6.788,5.522,3.183,35.232
path40,4.444,4.241,4.429,5.273,2.448,6.125,5.961,3.787,3.819,5.141,3.896,7.154,3.492,5.277,32.743
path41,4.387,2.451,6.331,3.619,2.811,5.618,4.705,2.981,3.957,7.318,4.985,5.315,6.926,6.428,33.917
path42,6.282,6.72,3.694,3.232,3.778,3.707,5.377,4.664,5.352,3.723,6.32,3.485,3.299,3.605,31.619
path43,2.95,4.849,3.459,5.91,6.748,5.446,3.008,6.613,4.747,5.634,4.307,6.69,8.087,4.648,36.548
path44,4.373,6.589,3.809,2.798,2.926,5.188,6.591,4.973,5.828,7.436,4.962,6.216,5.344,7.721,37.376
path45,2.821,2.835,5.129,5.452,3.325,6.814,4.461,4.842,6.446,5.95,6.949,7.348,4.137,7.54,37.025
path46,2.993,6.669,5.896,2.966,5.788,5.067,4.286,6.064,6.822,3.11,6.637,5.641,7.879,5.789,37.803
path47,6.695,6.674,3.04,4.833,5.539,4.444,6.04,6.868,7.045,5.361,5.705,4.971,5.693,5.23,39.068
path48,4.376,5.899,6.4,2.741,2.682,5.354,4.989,3.437,7.081,6.617,3.902,5.949,3.045,5.357,33.914
path49,6.416,3.244,5.466,4.646,4.867,4.061,5.092,6.317,6.679,3.844,4.815,7.42,6.056,6.759,37.841
path50,2.557,4.446,3.942,4.124,2.81,3.034,6.405,3.587,2.714,6.332,6.185,3.066,7.367,4.193,30.38
path51,3.012,4.1,5.704,2.963,5.019,4.339,3.674,6.83,4.638,2.723,6.645,7.051,3.715,6.786,33.599
path52,4.42,3.347,4.107,6.457,3.193,7.138,4.62,2.572,3.417,4.155,3.572,4.852,6.882,6.846,32.788
path53,3.295,3.821,4.054,6.594,3.011,4.465,6.287,2.976,6.295,5.989,5.144,5.348,8.164,6.137,35.791
path54,3.286,5.724,2.406,2.786,6.172,6.097,5.362,6.599,2.76,6.273,5.229,3.601,3.686,7.096,33.539
path55,5.971,2.763,3.519,3.453,2.464,6.982,6.094,4.314,6.06,6.135,4.171,4.334,8.204,6.075,35.271
path56,5.436,5.093,5.299,2.358,4.641,6.923,6.65,3.115,3.699,3.491,7.33,3.834,6.387,7.624,35.94
path57,4.044,5.312,5.457,6.603,6.021,4.354,4.989,2.502,7.103,4.49,5.291,3.223,3.684,3.511,33.293
path58,2.928,6.359,4.651,4.037,4.194,4.62,5.211,7.133,4.916,6.671,5.703,4.447,5.898,4.137,35.452
path59,6.584,4.763,2.502,3.477,3.899,2.324,3.769,2.382,3.849,4.62,5.342,5.066,7.932,5.184,30.846
path60,6.14,2.674,3.87,2.844,3.093,6.938,4.195,6.743,3.655,7.174,4.355,7.505,7.621,6.467,36.637
path61,2.778,4.975,6.233,6.016,3.807,4.808,6.163,2.823,3.254,3.216,5.848,6.945,7.058,6.289,35.107
path62,4.547,2.747,4.892,2.448,3.077,6.326,6.168,4.576,6.385,5.114,5.322,5.801,4.084,4.216,32.852
path63,4.614,6.494,4.91,2.86,5.393,5.591,2.89,2.911,4.985,4.277,6.367,5.943,3.818,6.99,34.021
path64,4.439,5.363,5.975,3.803,4.95,3.172,3.13,6.91,3.215,6.231,3.068,5.712,7.451,4.065,33.742
path65,4.527,6.864,6.025,6.42,4.354,2.614,3.259,6.012,7.558,4.396,3.848,5.079,4.63,4.559,35.073
path66,5.678,2.824,2.843,6.605,5.297,3.83,5.527,4.881,3.809,6.341,3.071,5.147,4.633,7.247,33.867
path67,3.74,3.721,5.307,6.053,4.496,5.138,2.752,4.406,4.03,6.161,5.249,5.644,3.219,3.562,31.74
path68,3.299,2.869,3.021,5.507,5.094,3.825,5.732,2.601,6.716,3.596,5.26,5.93,7.303,4.715,32.734
